id,first_name,last_name,date_of_birth,gender,social_id,department,is_staff
30575912,Christian,Brewer,1998-10-03,0,02709854188,Dispensing optician,1
67902723,Sean,Martinez,1995-06-30,0,006095172678,"Teacher, music",1
94362394,Billy,Waller,1998-12-11,0,093098849099,Podiatrist,0
81326292,Edward,Schmidt,1994-03-03,0,064094789059,Industrial buyer,1
79819664,Veronica,Meyer,1995-02-04,1,094195534611,"Engineer, civil (consulting)",1
99964388,Roy,Hall,1993-11-02,0,068093944137,Minerals surveyor,0
48913317,Donna,Phillips,1997-01-19,1,093197803569,Logistics and distribution manager,1
15154624,Amanda,Reynolds,1992-07-15,1,066192894882,"Therapist, speech and language",0
50518252,Travis,Bowman,2000-12-13,0,00100145156,Mining engineer,0
33400360,Jennifer,Sanchez,2005-02-12,1,00635104286,"Conservation officer, historic buildings",0
19801729,David,Jones,1990-11-01,0,026090267686,Medical physicist,1
44513761,David,Fitzpatrick,1994-05-08,0,034094 71698,"Teacher, adult education",1
94831446,Rebecca,Alvarez,1999-09-14,1,075199377380,Clinical cytogeneticist,1
67649887,Yvette,White,1999-08-12,1,095199117339,Publishing rights manager,1
78566522,Jorge,Rubio,2000-10-29,0,06200845322,"Engineer, structural",1
17925095,William,Brown,1994-05-31,0,060094203658,Armed forces training and education officer,0
14605369,Jennifer,Kim,1996-10-01,1,075196237816,Land,1
36995817,Patricia,Harris,1993-03-12,1,033193531062,"Psychotherapist, dance movement",0
92213925,Lonnie,Walsh,2003-01-26,0,01423952164,Immigration officer,0
74716645,Joshua,Olson,1992-12-19,0,049092977013,Dentist,0
